,FSA,med_fulltime_income,income_100k_up,med_total_household_income,income_40k,occup_cat_snr_mgmt,occup_cat_busfin,occup_ind_realestate,work_loc_home,work_loc_workplace,work_loc_notfixed,school_uni_degree,school_hs,commute_start_noon,edu_field_science,edu_field_bus_admin,edu_field_health,edu_field_pers_protect_transp,commute_transp_carpass,commute_start_6am,commute_start_9am,condo,worktype_selfemp,indigenous_ppl,married_ppl,work_loc_foreign,can_citizen_ppl,non_citizen_ppl,TotalEV,TotalEV_Category
0,K0A,74500,0.1270761292172074,115000,0.0788794725243222,0.0090928636697543,0.1042319889631447,0.0072563739630552,0.1706591654274094,0.267634780427499,0.0753408704065361,0.147770232741476,0.1318689194273735,0.0384766989769408,0.0138408614480497,0.0691595148083779,0.0477935248060487,0.0259796104850124,0.0212764051385877,0.0920036550624406,0.026203572644366,0.0268651256373322,0.0829107913926863,0.0408954902979592,0.5547542687187573,0.0008062637736728,0.9712343002526294,0.0156773511547488,88.42026051278377,Medium
1,K0B,56800,0.063510941960038,79000,0.0980019029495718,0.0064224548049476,0.0839676498572787,0.0038058991436726,0.0999048525214081,0.3056612749762131,0.068744053282588,0.0808753568030447,0.1684110371075166,0.0504281636536631,0.0071360608943862,0.0523311132254995,0.0456707897240723,0.0266412940057088,0.0176022835394862,0.0861084681255946,0.0216460513796384,0.0374117399093687,0.0925309229305423,0.0318744053282588,0.5432921027592769,0.000475737392959,0.9605137963843958,0.0152235965746907,56.6127497621313,Medium
2,K0C,58800,0.0664294636435898,84000,0.0961429274385858,0.0045421855482796,0.0757977213369166,0.0048260721450471,0.0913168552935387,0.3066921533744653,0.0655778038532874,0.0794882470948938,0.1507437828835308,0.0574397214126197,0.0079488247094893,0.0513834740149135,0.0521405049396267,0.0262121957681971,0.0201559483704909,0.0904651955032363,0.024982020515538,0.0138680989697983,0.0765547522616298,0.0341610204776865,0.538154358605549,0.0008516597903024,0.9672016351867974,0.0134372989136606,45.80037094515311,Low
3,K0E,58000,0.0635577189840853,83000,0.1025246538374233,0.0041615173144341,0.0701152614189513,0.0065575424348659,0.0780599762919619,0.2996292466392595,0.0697369416630936,0.0749073116598148,0.1547327801457792,0.0452722641176322,0.0070619687760094,0.0553607909405029,0.0488032485056369,0.0343009911977603,0.018411561451739,0.0982370299377033,0.0283739816893238,0.0089547378704005,0.0737723523922419,0.0312744331508991,0.5498247118464527,0.0016393856087164,0.981613659865318,0.0132411914550177,43.63287850891574,Low
4,K0G,64500,0.094450855451307,94000,0.0925693643068586,0.0066479353770508,0.0809041192112789,0.0089057247503888,0.1249310119913702,0.2642867894235111,0.0689880086297727,0.1115097084943053,0.1389794792032512,0.0383824193467462,0.0100346194370578,0.0594551201645677,0.0501730971852892,0.0280969344237619,0.0215744317896743,0.081531282926095,0.0299784255682103,0.0157127401988563,0.0893081129898148,0.0339922733430334,0.5645727760774673,0.0016306256585219,0.9700968340775676,0.0145501981837338,73.75445286237519,Medium
5,K0H,64000,0.0828998012096603,92000,0.0903015691748086,0.0053927166603222,0.070211056126549,0.0075075075075075,0.0968574208010827,0.2715391447785814,0.0591084041788267,0.1006640443260161,0.1478238802182464,0.0337309140126041,0.0108911728630038,0.0517066362136784,0.0553017806538933,0.0323562999619337,0.0162838895233261,0.081948145328427,0.0273865414710485,0.0031563165785528,0.0820538848707862,0.0404982447235968,0.5653893329949667,0.0006344372541555,0.9646618449435352,0.010573954235926,61.96337182252675,Medium
6,K0J,60000,0.0710914282384476,76000,0.0897383602354175,0.0039333372181108,0.0501136297418565,0.0042246955305634,0.0719655031758056,0.2665928558941786,0.0584173416467571,0.0801235359244799,0.1512149641629275,0.0371481848377134,0.0118000116543324,0.0466173299924246,0.0489481964920459,0.0256395314958335,0.0230173066837596,0.0812889691742905,0.0284074354641337,0.0055318078953985,0.0673037701765631,0.0903210768603228,0.5391585571936367,0.0016024707184895,0.96818367228017,0.0115086533418798,37.876580618845054,Low
7,K0K,58800,0.0690548122572291,83000,0.0967630556754423,0.0044885627967198,0.0577470867501078,0.0063875701337936,0.0844626672421234,0.2744928787224859,0.0628398791540785,0.0816573154941735,0.1524816573154941,0.0476046611998273,0.0068623219680621,0.0505826499784203,0.0477772982304704,0.0250755287009063,0.0206301251618472,0.0769961156668105,0.0321104876996115,0.011100031983143,0.0847647820457488,0.0634009495036685,0.553819594302978,0.0006473888649115,0.9656020716443676,0.0151057401812688,48.5110056107035,Low
8,K0L,59200,0.0694888792198817,79000,0.1005221263852985,0.0050549000537483,0.0598269816487932,0.0071024545058995,0.083629802155051,0.252553044457526,0.0613626474879066,0.0859333009137211,0.1489595863940006,0.043318573878324,0.0101737861841263,0.0454941004837347,0.0492692790048885,0.0267461800312252,0.016764352076988,0.0612346753346471,0.0300094699393412,0.0089164924363546,0.0858053287604617,0.0604028563384607,0.5607739755829132,0.0009597911494458,0.9673415064881882,0.0141409229351693,40.69514473650533,Low
9,K0M,58800,0.0744216296571587,80000,0.0989501068475332,0.0061321192975936,0.0631794109449038,0.0091981789463904,0.082876521415962,0.2403604942859797,0.072098857195949,0.0779522437981975,0.160921676112608,0.0439468549660875,0.0081761590634581,0.0456192511381585,0.0417169934033262,0.0230419028152002,0.0207191303539905,0.0603920839914522,0.0337266561367648,0.0125594570039014,0.0897519279011428,0.0260150515655486,0.5753971940908669,0.001207841679829,0.9757502555049709,0.0123571494936356,34.00538883211001,Low
